"itemId","globalId","name","firstPartition","secondPartition","accessRule","x","y"
"478","2N3oFtM8X6lO2dN1$77xEd","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185025","142","122","[]","340.73524666666685","266.73907833333385"
"479","2N3oFtM8X6lO2dN1$77xo6","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187872","147","143","[]","330.55104166666683","245.729291666667"
"482","2N3oFtM8X6lO2dN1$77xUv","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:186079","101","141","[]","344.49579166666666","292.5708333333338"
"484","2N3oFtM8X6lO2dN1$77x9N","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185137","142","123","[]","340.73524666666685","268.80407833333385"
"485","2N3oFtM8X6lO2dN1$77uCB","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189037","155","158","[]","365.5780447678163","249.9258750000005"
"488","2N3oFtM8X6lO2dN1$77xD6","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184864","121","119","[]","346.55079166666667","263.89558333333383"
"489","2N3oFtM8X6lO2dN1$77x$U","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188088","146","143","[]","314.63675","242.69845833333366"
"492","2N3oFtM8X6lO2dN1$77xH0","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185638","131","141","[]","322.227125","292.57083333333367"
"501","2N3oFtM8X6lO2dN1$77xeH","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187255","140","132","[]","321.009625","288.980291666667"
"502","2N3oFtM8X6lO2dN1$77xq_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187480","140","133","[]","321.009625","284.32891666666694"
"503","2N3oFtM8X6lO2dN1$77x0R","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184701","116","121","[]","352.4379166666668","263.89558333333383"
"504","2N3oFtM8X6lO2dN1$77xbr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186387","106","113","[]","374.8707516666668","293.2375833333338"
"507","2N3oFtM8X6lO2dN1$77xVs","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186000","113","141","[]","346.9528333333335","290.0311250000005"
"508","2N3oFtM8X6lO2dN1$77xRF","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186281","104","113","[]","361.6627516666667","293.2375833333338"
"510","2N3oFtM8X6lO2dN1$77xYv","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186847","113","109","[]","373.65960333333334","290.52854166666697"
"513","2N3oFtM8X6lO2dN1$77xJp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185749","128","141","[]","340.21995833333335","292.5708333333338"
"515","2N3oFtM8X6lO2dN1$77xjY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186884","140","139","[]","306.58625","271.3039166666672"
"516","2N3oFtM8X6lO2dN1$77u2P","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188927","153","158","[]","364.3360833333335","256.0593750000005"
"517","2N3oFtM8X6lO2dN1$77xwP","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:188415","121","143","[]","308.006455","260.588410000001"
"519","2N3oFtM8X6lO2dN1$77xDb","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184835","115","121","[]","349.1253333333335","263.89558333333383"
"521","2N3oFtM8X6lO2dN1$77x7o","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184468","121","S102","[]","378.5650833333335","261.5175766666678"
"523","2N3oFtM8X6lO2dN1$77xei","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187210","140","137","[]","319.36533666666685","271.3039166666672"
"524","2N3oFtM8X6lO2dN1$77u0o","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188756","152","121","[]","353.58125","260.58841000000115"
"525","2N3oFtM8X6lO2dN1$77xzD","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187947","144","143","[]","309.6383266666667","245.729291666667"
"527","2N3oFtM8X6lO2dN1$77xv3","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188197","145","143","[]","311.86666","245.52262500000035"
"528","2N3oFtM8X6lO2dN1$77xXr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186643","111","114","[]","352.93420333333347","278.4688333333338"
"529","2N3oFtM8X6lO2dN1$77xKn","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185431","126","141","[]","336.61579166666667","290.0311250000005"
"530","2N3oFtM8X6lO2dN1$77xNK","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185522","127","141","[]","334.3874583333333","290.0311250000005"
"532","2N3oFtM8X6lO2dN1$77xsW","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187590","121","S101","[]","305.65708333333333","261.51757666666765"
"534","2N3oFtM8X6lO2dN1$77u8l","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:189257","157","158","[]","368.5538781011497","249.9258750000005"
"535","2N3oFtM8X6lO2dN1$77xtv","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187551","140","134","[]","321.009625","279.677541666667"
"536","2N3oFtM8X6lO2dN1$77xGO","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185726","129","141","[]","332.95661166666684","292.57083333333367"
"537","2N3oFtM8X6lO2dN1$77xb8","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186414","107","113","[]","377.54937500000017","291.8830625000005"
"538","2N3oFtM8X6lO2dN1$77x1u","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184606","117","121","[]","357.9782916666667","263.89558333333383"
"540","2N3oFtM8X6lO2dN1$77uCq","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189010","154","158","[]","364.3360833333335","250.77004166666717"
"545","2N3oFtM8X6lO2dN1$77xkJ","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187125","140","138","[]","317.3003366666667","271.3039166666672"
"547","2N3oFtM8X6lO2dN1$77u2e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188878","121","153","[]","363.20025000000015","260.58841000000115"
"548","2N3oFtM8X6lO2dN1$77xnt","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187665","121","143A","[]","330.55104166666666","260.588410000001"
"551","2N3oFtM8X6lO2dN1$77u5A","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188460","150","121","[]","351.51625","260.58841000000115"
"476","3If4otxpvBjO9DSa$bK$uj","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:207624","143A","143","[]","330.67520833333333","254.92620833333382"
"514","2N3oFtM8X6lO2dN1$77xaz","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186459","142","114","[]","344.8204166666668","277.29133333333385"
"543","2N3oFtM8X6lO2dN1$77u3r","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188819","152","151","[]","357.3633433333333","255.13020833333383"
"553","2N3oFtM8X6lO2dN1$77xGt","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185681","130","141","[]","328.04406","292.57083333333367"
"554","2N3oFtM8X6lO2dN1$77xWY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186692","113","110","[]","371.3646033333335","290.52854166666697"
"557","2N3oFtM8X6lO2dN1$77xcM","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186608","114","112","[]","350.60587000000015","278.4688333333338"
"563","2N3oFtM8X6lO2dN1$77xm_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187736","149","143","[]","331.7285416666667","252.3623750000005"
"564","2N3oFtM8X6lO2dN1$77xCp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184917","121","135","[]","332.35320666666684","265.03141666666716"
"565","2N3oFtM8X6lO2dN1$77xQu","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186334","105","113","[]","372.6424183333335","293.2375833333338"
"568","2N3oFtM8X6lO2dN1$77u67","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188641","150","151","[]","351.5162500000002","253.91020833333383"
"569","2N3oFtM8X6lO2dN1$77xAg","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185292","142","125","[]","341.4707916666667","277.6728750000005"
"571","2N3oFtM8X6lO2dN1$77xRk","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186248","113","103","[]","359.4344183333333","293.23758333333365"
"572","2N3oFtM8X6lO2dN1$77xF_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184984","136","121","[]","326.99279500000017","265.03141666666716"
"574","2N3oFtM8X6lO2dN1$77uF4","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189090","156","151","[]","358.29251","243.5437300000005"
"576","2N3oFtM8X6lO2dN1$77xpX","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187783","148","143","[]","331.7285416666667","247.57345833333383"
"577","2N3oFtM8X6lO2dN1$77xOj","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186187","102","113","[]","353.08554","293.23758333333365"
"477","1h7qyFpbf0qggP_pQnt_7r","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190047","S202","203","[]","378.5650833333335","261.99358333333385"
"480","1h7qyFpbf0qggP_pQnt_sR","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191025","229","235","[]","334.358005","293.6982500000005"
"481","1h7qyFpbf0qggP_pQnt_0z","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190359","223","225","[]","356.14463","281.58617666666714"
"491","1h7qyFpbf0qggP_pQnt_$4","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190574","202","226","[]","344.291005","286.25475000000046"
"494","1h7qyFpbf0qggP_pQnt_Ac","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189708","213","203","[]","342.8051516666668","259.159541666667"
"495","1h7qyFpbf0qggP_pQnt_DD","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189671","211","203","[]","340.74015166666686","259.159541666667"
"497","1h7qyFpbf0qggP_pQnt_yp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190617","202","230","[]","341.2432966666668","285.9861200000005"
"500","1h7qyFpbf0qggP_pQnt_3s","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190300","223","222","[]","358.68462999999986","283.2400800000003"
"506","1h7qyFpbf0qggP_pQnt_zc","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190668","202","231","[]","341.2432966666668","283.9211200000005"
"509","1h7qyFpbf0qggP_pQnt_Gm","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189338","201","S201","[]","305.65708333333333","261.4383750000005"
"511","1h7qyFpbf0qggP_pQnt_8l","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189829","218","203","[]","374.28222500000015","263.9323333333338"
"518","1h7qyFpbf0qggP_pQnt_zR","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190705","202","224","[]","344.29100500000015","272.8231033333337"
"520","1h7qyFpbf0qggP_pQnt_6x","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189969","217","203","[]","370.77791666666684","263.9323333333338"
"522","1h7qyFpbf0qggP_pQnt_vQ","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190960","209","201","[]","335.0753300000002","268.6792500000003"
"531","1h7qyFpbf0qggP_pQnt_qr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191135","237","234","[]","322.4418800000002","283.113041666667"
"533","1h7qyFpbf0qggP_pQnt_Ct","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189597","208","203","[]","328.55075000000016","259.159541666667"
"539","1h7qyFpbf0qggP_pQnt_4u","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190098","223","220","[]","358.68462999999986","276.5934133333337"
"541","1h7qyFpbf0qggP_pQnt_rV","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191221","207","201","[]","323.3710466666668","268.6792500000003"
"544","1h7qyFpbf0qggP_pQnt_ro","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191192","237","233","[]","322.2352133333335","281.0480416666672"
"546","1h7qyFpbf0qggP_pQnt_qY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191112","236","229","[]","323.3710466666668","293.6982500000005"
"549","1h7qyFpbf0qggP_pQnt_1e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190402","223","227","[]","356.14463","283.65117666666714"
"505","1h7qyFpbf0qggP_pQnt_1D","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190439","202","228","[]","344.291005","292.5624166666671"
"552","1h7qyFpbf0qggP_pQnt_pi","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191302","205","237","[]","321.3060466666668","277.40251333333384"
"555","1h7qyFpbf0qggP_pQnt_Di","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189638","210","203","[]","330.61575000000016","259.159541666667"
"556","1h7qyFpbf0qggP_pQnt_kO","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191538","202","232","[]","341.2432966666668","277.75758333333386"
"558","1h7qyFpbf0qggP_pQnt_B8","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189794","216","203","[]","354.99975","259.15954166666717"
"560","1h7qyFpbf0qggP_pQnt_FG","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189562","206","203","[]","319.8630833333335","259.159541666667"
"561","1h7qyFpbf0qggP_pQnt_ws","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190748","202","212","[]","344.29100500000015","269.8150833333337"
"566","1h7qyFpbf0qggP_pQnt_AF","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189733","214","203","[]","352.93475","259.15954166666717"
"567","06njXbG3HC4RydTXssDq$e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:214056","215","201","[]","353.42713","268.885916666667"
"570","1h7qyFpbf0qggP_pQnt_Ft","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189533","204","203","[]","317.7980833333335","259.159541666667"
"575","1h7qyFpbf0qggP_pQnt_66","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189996","219","203","[]","377.5356666666668","263.9323333333338"
